"","Estimates"
"Mu",-0.353739262253663
"Sigma",0.219997042791186
"Mu_c",-0.353677341996613
"Sigma_c",0.0505274300307574
"Hc",0.916759898698911
"Hw",0.989945507508677
"Hw_SE",0.0152862297233079
"Q.Hc",-11.2052734564668
"Q.Hw",104.220311543465
