"City","Q.Hc","Q.Hw"
"Germany, Berlin",-0.517628584952358,-0.62598639791564
"Switzerland, Geneva",-0.222023738369645,-1.62188981394044
"Switzerland, Basel",-0.408831033207585,-0.483505152827373
"France, Paris",1.28574021607833,-2.79054714173265
"Sweden, Stockholm",-1.20900567330769,1.0977462646572
"Italy, Milan",-1.33863595049798,-2.33482346063291
"Czech Republic, Prague",-0.197730173892535,-0.855266156844614
"Hungary, Budapest",-0.819153980860227,-0.254926025536469
"Denmark, Copenhagen",-1.00647325110817,-0.693453439368359
