"","Mu_c","Mu_ML","Sigma_c","Sigma_ML","H_c","H_ML","Alpha_c","Q_Stat"
"0.7",0.00205309900983243,0.00208000934563373,0.9937476346188,0.990294853492112,0.693148477731154,0.700149046592927,2.00012329638838,-0.0218135368773586
"0.8",-0.000643247643269974,-0.000735346246232338,0.95587027204395,0.950382614160794,0.780936652094701,0.798721757278925,2.00006019072817,-0.0271161587958911
"0.9",-0.0116102003366737,-0.0105916990346339,0.792561082786862,0.789123014625355,0.860187273655954,0.899080395494554,2.00003935189426,0.0206100806346878
"0.95",-0.0241936473698961,-0.0210970018649131,0.535044099353082,0.533760838458501,0.891195358685974,0.947435301938511,2.00002709615553,-0.0259998557023846
