"","test.stat","test.res","test.criterion"
"Argentina,Buenos Aires",3.08642412894721,0,5.86467636146604
"Australia,Adelaide",3.28211095768681,0,5.87785623913259
"Australia,Alice Springs",3.9472391836827,0,5.80198614462291
"Australia,Cap Otway",3.71947086893756,0,5.78812256855059
"Austria,Kremsmunster",3.22887926492305,0,5.74209061999713
"Austria,Vienna",2.72204740532538,0,5.74733589646457
"Belgium,Uccle",3.90486665397535,0,5.94054937588257
"Canada,Winnipeg",3.59322628728829,0,5.6277821937847
"Croatia,Zagreb",4.14858735512045,0,5.81308531860172
"Czech Republic,Prague",4.06556065129293,0,5.97108675798912
"Denmark,Copenhagen",3.91243503128209,0,5.95732652809749
"Denmark,Vestervig",3.92567255514603,0,5.86440664679666
"Egypt,Alexandria",5.14422302974152,0,5.49316437121362
"France,Nantes",3.80485384704327,0,5.85522285092678
"France,Paris",4.13896012990948,0,5.9524524889124
"Germany,Berlin",4.30859296399129,0,5.97645470901964
"Germany,Hohenpeissenberg",3.03777758562434,0,5.98686152618735
"Germany,Karlsruhe",2.60048071302126,0,5.71742951872481
"Greece,Athens",3.65831864805888,0,5.5808657352097
"Greenland,Illulisat",3.71588409984245,0,5.86548304019511
"Greenland,Ivittuut",3.04206319008812,0,5.74012745605774
"Hungary,Budapest",3.67300605289362,0,5.94108838770072
"Iceland,Djupivogur",6.37656404065651,1,5.84943379679539
"Iceland,Reykjavik",3.25901036446384,0,5.71721153611228
"India,Agra",4.36338109765142,0,5.82830256831478
"India,Allahabad",2.49533542690247,0,5.821806838309
"India,Bombay",4.36111903341321,0,5.87798770189434
"India,Indore",2.76342926051915,0,5.89209180458289
"India,Madras",4.71436215540597,0,5.71809493490922
"India,Nagpur",3.66878211453599,0,5.86893125649918
"Israel,Jerusalem",3.66529654100633,0,5.82122654690624
"Italy,Bologna",4.36326896763408,0,5.90706253717722
"Italy,Milan",4.0018006309289,0,5.93468671248346
"Japan,Hiroshima",2.93996831754618,0,5.33302959633204
"Japan,Nagasaki",2.96044781399843,0,5.63715125772589
"Japan,Tokyo",2.55019204521605,0,5.56940681992736
"Kazakhstan,Kazalinsk",3.28887795122496,0,5.75090905906852
"Luxembourg,Luxembourg",3.36833212353554,0,5.90164993795097
"New Zealand,Wellington",3.38989846080811,0,5.6064886579462
"Norway,Andoya",4.49295774787247,0,5.91443421444917
"Norway,Bergen",2.31244446916696,0,5.8610322828636
"Norway,Bodo",4.28652213901629,0,5.89627179408392
"Norway,Dombas",5.48468581725925,0,5.86722230755502
"Norway,Karasjok",3.91996379863495,0,5.82134949881851
"Norway,Mandal",3.92920645818244,0,5.92371348921473
"Norway,Oksoy Lighthouse",4.18693158508057,0,5.87315664861225
"Norway,Ona",3.90189890968575,0,5.8941770042655
"Norway,Oslo",3.28578548556726,0,5.92838679964128
"Norway,Roros",3.35211278867082,0,5.83157766090506
"Norway,Tromso",3.8337046983784,0,5.87055190807735
"Norway,Utsira",2.86296727220382,0,5.86810174146555
"Norway,Vardo",2.74199854215626,0,5.86742923839491
"Pakistan,Lahore",2.82985671895654,0,5.88872025961735
"Portugal,Lisbon",4.93803938557721,0,5.78398283197515
"Romania,Sulina",2.9569562786014,0,5.39636376069874
"Russia,Archangelsk",3.72015566194432,0,5.68284235682537
"Russia,Sort",3.22155249362484,0,5.43682466046955
"Russia,St Petersburg",3.69483438276749,0,5.85162197802233
"Spain,Gibraltar",5.7035751126444,0,5.86749727507993
"Sweden,Bromma",3.2442653871483,0,5.96340295955235
"Sweden,Stockholm",3.0833734514038,0,5.95532527736697
"Sweden,Tullinge",3.50834186764705,0,5.94994071508686
"Sweden,Uppsala",3.18153363678296,0,5.92000406697501
"Switzerland,Basel",4.41104728924109,0,5.96085887443022
"Switzerland,Geneva",4.26618870826449,0,5.95530885373622
"UK,Aberdeen",2.11399860440151,0,5.81776077336693
"UK,Belfast",2.76564635632986,0,5.84614960833808
"UK,Cambridge",2.81494613448078,0,5.86298019564132
"UK,Durham",2.86656298787418,0,5.92999056614473
"UK,Edinbourg",3.40632994854078,0,5.9140827259421
"UK,London",4.0372198440386,0,5.90851555593265
"UK,Plymouth",4.379476054419,0,5.85215341961009
"USA,Atlanta",3.98464318213765,0,5.89702391913926
"USA,Bismarck",3.50997107805099,0,5.63525347842209
"USA,Boise",3.83940404484444,0,5.56740545515366
"USA,Boston",3.372951375773,0,5.82772703101542
"USA,Chattanooga",3.83521985302784,0,5.86272101553434
"USA,Cincinatti",4.8860911601136,0,5.86047914544336
"USA,Columbus",3.41287775543042,0,5.83050379880234
"USA,Concord",2.57334538706644,0,5.91149916826538
"USA,Des Moines",2.39691983894755,0,5.7987763905517
"USA,Detroit",3.54218411267327,0,5.8407495164468
"USA,Dodge City",2.7912986420378,0,5.798506934298
"USA,Fargo",2.17591476658547,0,5.5840409562473
"USA,Galveston",2.84129395019064,0,5.87879103607063
"USA,Indianapolis",3.42209815001875,0,5.82503079424729
"USA,Jacksonville",3.7434634045417,0,5.79965030487491
"USA,Knoxville",2.88645756306156,0,5.86583640130403
"USA,Las Vegas",2.44141725257277,0,5.74636418590478
"USA,Madison",2.7920456995437,0,5.84195520869901
"USA,Marquette",3.19765292406944,0,5.84269461094384
"USA,Milwaukee",2.62122469722128,0,5.81893940124408
"USA,Mobile",2.74083890669267,0,5.88713261426478
"USA,Nashville",3.83551581418059,0,5.85826544163696
"USA,New Orleans",2.70769459367398,0,5.85902024782679
"USA,New York",4.44795349187431,0,5.61745706238863
