"City","Hc","Q_Hc","Hw","Hw_se","Q_Hw"
"Argentina, Buenos Aires",0.951499921351855,4.95996343144874,0.93768370295613,0.0552872130579099,-0.22233863783243
"Australia, Adelaide",0.882079066008559,2.51083589205131,0.781040695392554,0.0583585468046226,0.336065517031485
"Australia, Alice Springs",0.647101453088582,-0.039929601446358,0.708073757528658,0.0576908392714852,0.0620415597094635
"Australia, Cap Otway",0.905434512089599,0.222488480591969,0.868982874892959,0.0589920414336208,0.157188817131105
"Austria, Kremsmunster",0.727939859987247,-0.678732382368594,0.781909066425017,0.0579217824198097,0.27345027214556
"Austria, Vienna",0.810576700120035,-0.52714478589786,0.805951253554417,0.0554434241728039,-0.270303204407753
"Belgium, Uccle",0.739518550507759,-0.0863199125796797,0.738948412315123,0.0499825898931224,0.0106171580529248
"Canada, Winnipeg",0.713430200562434,0.346075167214381,0.72835273516032,0.0581156544286306,0.173930154689791
"Croatia, Zagreb",0.723354923794187,0.887874883299953,0.780484234749137,0.054876158005106,-0.144434115417942
"Czech Republic, Prague",0.7450505836776,0.442294545731299,0.716060985654407,0.0434331436033823,0.0117057531530881
"Denmark, Copenhagen",0.816792190723846,0.0922668859406647,0.752821918356335,0.0452975100914401,0.00688493426511709
"Denmark, Vestervig",0.698758400684112,0.0928928878911111,0.733073545671778,0.0564371301707485,0.00826688445537859
"Egypt, Alexandria",0.881732045865849,0.223837629574986,0.861781988562529,0.0637917354672459,0.0102492712070476
"France, Nantes",0.73773376981906,-0.493843300203562,0.720234174266365,0.0524405441449805,0.11998352442091
"France, Paris",0.87277947869725,0.573984452028419,0.80190242120736,0.0420343480590313,-0.0104807476562439
"Germany, Berlin",0.725603779937431,-0.0530376997387257,0.711537234323,0.0411361446933436,-0.0405262840467663
"Germany, Hohenpeissenberg",0.700806681242844,1.05294068663211,0.684412967296671,0.0430900908416164,-0.338337321972283
"Germany, Karlsruhe",0.728215670625054,0.20892618035865,0.819038052818124,0.0586522238384125,0.172163373201231
"Greece, Athens",0.75381054707672,0.863185550200883,0.788394126738369,0.0542038073846282,0.0940274041455815
"Greenland, Illulisat",0.805670939311989,0.838871587957858,0.804688108372779,0.0568228689372592,0.000105986280896297
"Greenland, Ivittuut",0.797445879715161,-0.201974568963623,0.803929751941726,0.0711505812170998,-0.273016183791262
"Hungary, Budapest",0.682182415975797,0.288412037649274,0.662524205753179,0.0431839017341743,-0.115326596831329
"Iceland, Djupivogur",0.851969126949342,0.0841447824561669,0.840874355766516,0.0581397809534413,0.331796703766685
"Iceland, Reykjavik",0.888909298292831,0.995842838960838,0.885360742019818,0.0565413730058495,0.146469270174117
"India, Agra",0.801647436016212,-0.28073366463255,0.84397755371014,0.0657716877885115,0.183693916514558
"India, Allahabad",0.706130976722687,-1.13527070803519,0.806717422544668,0.0592482014072744,-0.838624117938618
"India, Bombay",0.792618775177585,-0.0721476981687959,0.886574209521716,0.0588747002137138,0.087483411560978
"India, Indore",0.820169009338633,-0.302722517704568,0.899185667718861,0.0589491011271421,-0.533866957392269
"India, Madras",0.775389493891157,-0.510823282181888,0.905766021146297,0.0589869030100715,-0.327844915260937
"India, Nagpur",0.610086102585271,-0.423643267172271,0.727458731429466,0.0578831232181228,-0.158253419733037
"Israel, Jerusalem",0.70179847177863,0.0216884099733586,0.654085815536791,0.056870139279162,-0.0601067865369696
"Italy, Bologna",0.818598377065459,0.60165356938799,0.844989538153308,0.0482867307809496,-0.722770986732962
"Italy, Milan",0.85112600835713,-1.01362079294552,0.825766794381519,0.0428471189973785,-0.280864765613162
"Japan, Hiroshima",0.79788106438186,-0.165079186543757,0.737989062928212,0.0591310994037668,-0.267299146639292
"Japan, Nagasaki",0.823043556770672,0.0262830276799376,0.760869834971596,0.0579660959824231,0.0136933272127172
"Japan, Tokyo",0.925995774637022,-0.235313322681703,0.851185165777463,0.0575630816768265,-0.0864748858828651
"Kazakhstan, Kazalinsk",0.610576277126668,-0.249866972363158,0.563228981944899,0.0609347773314933,-0.216347837217556
"Luxembourg, Luxembourg",0.815202366041368,-1.06826571897203,0.825252337799613,0.0514808609896504,1.06207677261141
"New Zealand, Wellington",0.810438084155633,-0.618287820146743,0.919159197246717,0.0604626296021548,-0.295637473501789
"Norway, Andoya",0.772909797990168,0.0490932141577162,0.761073906080124,0.0552893620731682,-0.0131690893778754
"Norway, Bergen",0.782869491227048,-0.376502911851297,0.717126640112466,0.0529174695510654,0.205656129545925
"Norway, Bodo",0.700038250719684,-0.289262789109307,0.68161709221416,0.0543582166175039,-0.129660311707599
"Norway, Dombas",0.678704219849943,3.47572455319921,0.636740501302848,0.0534818984611665,3.27537589306769
"Norway, Karasjok",0.654655792623045,-0.386305546276237,0.651652319902623,0.0555819360245552,0.626584875673356
"Norway, Mandal",0.619811176474361,-0.499112846946643,0.625254658338651,0.0535224755411107,0.367915237325996
"Norway, Oksoy Lighthouse",0.666299491428153,-0.126394739319014,0.671692946093353,0.0546301048052097,0.155592940010149
