"","Mu_c","Mu_ML","Sigma_c","Sigma_ML","H_c","H_ML","Alpha_c","Q_Stat"
"0.7",0.102384355547218,0.101388769600064,0.0386764424807007,0.0385819921935609,0.0192324304549778,0.0150534731197088,0.00306969838506906,0.996633402536128
"0.8",0.222183462458535,0.219692696351115,0.0526423447962324,0.0558870514497744,0.0205701095371972,0.015008380539406,0.00244896275288954,1.00084860352144
"0.9",0.485007522163729,0.481826491008195,0.0804032138384217,0.0856429097563307,0.0226589684941001,0.0145419108249279,0.00136551763610816,0.982157367364527
"0.95",0.699620783070736,0.698238987903968,0.07296506067615,0.077197891215863,0.0212021203331487,0.013949426716394,0.000759734493220271,1.01826539563501
